0.000000000000000000e+00	4.667234375000000046e-01	1.000000000000000000e+00	0.000000000000000000e+00	3.564625825165595643e+02	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+00	4.280687499999999979e-01	1.000000000000000000e+00	0.000000000000000000e+00	3.451137289052790607e+02	0.000000000000000000e+00	0.000000000000000000e+00
2.000000000000000000e+00	3.590140625000000085e-01	1.000000000000000000e+00	0.000000000000000000e+00	2.754485601648249258e+02	0.000000000000000000e+00	0.000000000000000000e+00
3.000000000000000000e+00	2.702468749999999975e-01	1.000000000000000000e+00	0.000000000000000000e+00	2.176046619140288954e+02	0.000000000000000000e+00	0.000000000000000000e+00
4.000000000000000000e+00	1.742749999999999855e-01	1.000000000000000000e+00	0.000000000000000000e+00	1.400359462083529820e+02	0.000000000000000000e+00	0.000000000000000000e+00
5.000000000000000000e+00	1.102984374999999989e-01	1.000000000000000000e+00	0.000000000000000000e+00	6.757498323621700820e+01	0.000000000000000000e+00	0.000000000000000000e+00
6.000000000000000000e+00	6.677031249999999807e-02	1.000000000000000000e+00	0.000000000000000000e+00	5.062538580099930741e+00	0.000000000000000000e+00	0.000000000000000000e+00
7.000000000000000000e+00	3.902812499999999685e-02	1.000000000000000000e+00	0.000000000000000000e+00	6.495190528383018580e-02	0.000000000000000000e+00	0.000000000000000000e+00
8.000000000000000000e+00	2.007187500000000291e-02	1.000000000000000000e+00	0.000000000000000000e+00	6.434768838116564083e-02	0.000000000000000000e+00	0.000000000000000000e+00
9.000000000000000000e+00	8.865625000000000241e-03	1.000000000000000000e+00	0.000000000000000000e+00	6.373774391990631727e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.000000000000000000e+01	3.084374999999999877e-03	9.100000000000000311e-01	0.000000000000000000e+00	6.265605517425582027e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.100000000000000000e+01	9.125000000000000082e-04	5.074999999999999512e-01	0.000000000000000000e+00	6.249999999999523992e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.200000000000000000e+01	1.671875000000000184e-04	1.237499999999999989e-01	0.000000000000000000e+00	6.265605517425625048e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.300000000000000000e+01	2.656250000000000191e-05	2.125000000000000153e-02	0.000000000000000000e+00	6.218671481915920285e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.400000000000000000e+01	1.562500000000000075e-06	1.250000000000000026e-03	0.000000000000000000e+00	6.265605517425669457e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.500000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.265605517425669457e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.600000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.265605517425712478e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.700000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.265605517425711091e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.800000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.234355419768372597e-02	0.000000000000000000e+00	0.000000000000000000e+00
1.900000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.265605517425711091e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.000000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.296700524877796301e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.100000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.296700524877796301e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.200000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.358434359179643280e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.300000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.373774391990673360e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.400000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.389077593831246626e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.500000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.404344228724462296e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.600000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.434768838116565470e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.700000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.465050270492626872e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.800000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.480137922914652737e-02	0.000000000000000000e+00	0.000000000000000000e+00
2.900000000000000000e+01	0.000000000000000000e+00	0.000000000000000000e+00	0.000000000000000000e+00	6.510208329999611632e-02	0.000000000000000000e+00	0.000000000000000000e+00
